	name_surname	comment_text	time
109	Egor Zinchenko	Squirrel	2019-04-23 12:57:02
110	Egor Zinchenko	System	2019-04-23 12:57:15
111	Egor Zinchenko	Space	2019-04-23 12:57:35
112	Egor Zinchenko	Sophomore	2019-04-23 12:58:07
113	Vyacheslav Solodilov	Shadow	2019-04-23 13:04:48
114	Angelina Verkhoshanskaya	Sunshine	2019-04-23 13:10:45
115	Anastasia Besfamilnaya	Sarmie	2019-04-23 13:16:51
116	Yura Pisarenko	super	2019-04-23 13:22:57
117	Yura Pisarenko	spirit	2019-04-23 13:24:02
118	Yura Pisarenko	Spiel	2019-04-23 13:24:55
119	Yura Pisarenko	Sex	2019-04-23 13:25:10
120	Toma Tarasova	School	2019-04-23 13:25:15
121	Valeria Kosenko	Suffer	2019-04-23 13:25:20
122	Toma Tarasova	Symphony	2019-04-23 13:25:21
123	Toma Tarasova	Sale	2019-04-23 13:25:25
124	Toma Tarasova	Selfishness	2019-04-23 13:25:32
125	Toma Tarasova	Selfish	2019-04-23 13:25:36
126	Toma Tarasova	Sundhine	2019-04-23 13:25:41
127	Toma Tarasova	Sunrice	2019-04-23 13:25:45
128	Toma Tarasova	Slimming	2019-04-23 13:25:50
129	Toma Tarasova	Short	2019-04-23 13:25:55
130	Toma Tarasova	Southside	2019-04-23 13:26:01
131	Toma Tarasova	South	2019-04-23 13:26:16
132	Toma Tarasova	Short	2019-04-23 13:26:21
133	Toma Tarasova	Sport	2019-04-23 13:26:24
134	Toma Tarasova	Swimming	2019-04-23 13:26:29
135	Toma Tarasova	Swing	2019-04-23 13:26:37
136	Toma Tarasova	Swinging	2019-04-23 13:26:45
137	Toma Tarasova	Sing	2019-04-23 13:26:48
138	Toma Tarasova	Singer	2019-04-23 13:26:52
139	Yura Pisarenko	Sycophant	2019-04-23 13:26:53
140	Toma Tarasova	Song	2019-04-23 13:26:55
141	Toma Tarasova	Son	2019-04-23 13:26:59
142	Toma Tarasova	Switch	2019-04-23 13:27:03
143	Toma Tarasova	So	2019-04-23 13:27:14
144	Toma Tarasova	Slide	2019-04-23 13:27:19
145	Toma Tarasova	Slightly	2019-04-23 13:27:24
146	Toma Tarasova	Slow	2019-04-23 13:27:27
147	Toma Tarasova	Slowly	2019-04-23 13:27:31
148	Toma Tarasova	Saturday	2019-04-23 13:27:38
149	Toma Tarasova	Saturn	2019-04-23 13:27:43
150	Toma Tarasova	Software	2019-04-23 13:27:53
151	Toma Tarasova	Should	2019-04-23 13:27:57
152	Toma Tarasova	Shampoo	2019-04-23 13:28:06
153	Toma Tarasova	Sunday	2019-04-23 13:28:29
154	Toma Tarasova	Star	2019-04-23 13:28:32
155	Toma Tarasova	Start	2019-04-23 13:28:35
156	Toma Tarasova	Starting	2019-04-23 13:28:40
157	Toma Tarasova	Starving	2019-04-23 13:28:45
158	Toma Tarasova	Starbucks	2019-04-23 13:28:51
159	Toma Tarasova	Sturring	2019-04-23 13:28:58
160	Toma Tarasova	Square	2019-04-23 13:29:03
161	Toma Tarasova	Squeeze	2019-04-23 13:29:07
162	Toma Tarasova	Squad	2019-04-23 13:29:11
163	Toma Tarasova	Squash	2019-04-23 13:29:24
164	Toma Tarasova	Soon	2019-04-23 13:29:31
165	Toma Tarasova	Slot	2019-04-23 13:29:37
166	Toma Tarasova	Sloan	2019-04-23 13:29:41
167	Toma Tarasova	Sloganeering	2019-04-23 13:29:48
168	Toma Tarasova	Stephen	2019-04-23 13:29:54
169	Toma Tarasova	Still	2019-04-23 13:29:59
170	Toma Tarasova	Study	2019-04-23 13:30:03
171	Toma Tarasova	Studying	2019-04-23 13:30:10
172	Toma Tarasova	Squirrel	2019-04-23 13:30:46
173	Toma Tarasova	Simply	2019-04-23 13:30:56
174	Toma Tarasova	Simple	2019-04-23 13:31:00
175	Toma Tarasova	Symptoms	2019-04-23 13:31:05
176	Toma Tarasova	Synopsis	2019-04-23 13:31:10
177	Nikita Chibisov	same	2019-04-23 13:33:44
178	Nikita Chibisov	some	2019-04-23 13:33:48
179	Nikita Chibisov	Simpsons	2019-04-23 13:33:57
180	Nikita Chibisov	soldiers	2019-04-23 13:34:04
181	Nikita Chibisov	serially	2019-04-23 13:34:22
182	Nikita Chibisov	solenoid	2019-04-23 13:34:33
183	Nikita Chibisov	say	2019-04-23 13:35:04
184	Nikita Chibisov	sad	2019-04-23 13:35:35
185	Armen Davtyan	Shape	2019-04-23 13:41:02
186	Armen Davtyan	Sugar	2019-04-23 13:41:09
187	Armen Davtyan	Salary	2019-04-23 13:41:12
188	Armen Davtyan	slip	2019-04-23 13:44:35
189	Armen Davtyan	show	2019-04-23 13:44:42
190	Armen Davtyan	seria	2019-04-23 13:44:48
191	Armen Davtyan	severe	2019-04-23 13:44:54
192	Armen Davtyan	send	2019-04-23 13:45:00
193	Armen Davtyan	sell	2019-04-23 13:45:03
194	Armen Davtyan	security	2019-04-23 13:45:07
195	Vsevolod Kadykov	sorry	2019-04-23 13:45:13
196	Armen Davtyan	sound	2019-04-23 13:45:14
197	Armen Davtyan	set	2019-04-23 13:45:18
198	Armen Davtyan	side	2019-04-23 13:45:28
199	Armen Davtyan	silk	2019-04-23 13:45:43
200	Armen Davtyan	sign	2019-04-23 13:45:52
201	Armen Davtyan	sight	2019-04-23 13:45:56
202	Armen Davtyan	signal	2019-04-23 13:46:01
203	Armen Davtyan	silly	2019-04-23 13:46:04
204	Armen Davtyan	simple	2019-04-23 13:46:08
205	Armen Davtyan	silver	2019-04-23 13:46:12
206	Armen Davtyan	serious	2019-04-23 13:46:15
207	Armen Davtyan	separation	2019-04-23 13:46:23
208	Armen Davtyan	senate	2019-04-23 13:46:29
209	Armen Davtyan	select	2019-04-23 13:46:38
210	Armen Davtyan	seek	2019-04-23 13:46:46
211	Armen Davtyan	season	2019-04-23 13:46:51
212	Armen Davtyan	seal	2019-04-23 13:46:53
213	Armen Davtyan	shade	2019-04-23 13:46:57
214	Armen Davtyan	shadow	2019-04-23 13:47:00
215	Armen Davtyan	sock	2019-04-23 13:47:06
216	Armen Davtyan	snake	2019-04-23 13:47:10
217	Armen Davtyan	spot	2019-04-23 13:47:16
218	Armen Davtyan	spring	2019-04-23 13:47:22
219	Armen Davtyan	solution	2019-04-23 13:47:30
220	Armen Davtyan	soldier	2019-04-23 13:47:38
221	Armen Davtyan	stick	2019-04-23 13:47:50
222	Armen Davtyan	star	2019-04-23 13:47:57
223	Armen Davtyan	stare	2019-04-23 13:48:00
224	Armen Davtyan	stay	2019-04-23 13:48:19
225	Armen Davtyan	subject	2019-04-23 13:48:25
226	Armen Davtyan	steal	2019-04-23 13:48:50
227	Armen Davtyan	steak	2019-04-23 13:48:53
228	Armen Davtyan	steam	2019-04-23 13:48:56
229	Armen Davtyan	steady	2019-04-23 13:49:00
230	Armen Davtyan	stair	2019-04-23 13:49:16
231	Armen Davtyan	stable	2019-04-23 13:49:19
232	Armen Davtyan	square	2019-04-23 13:49:23
233	Armen Davtyan	strike	2019-04-23 13:49:27
234	Armen Davtyan	such	2019-04-23 13:49:33
235	Armen Davtyan	suggest	2019-04-23 13:49:44
236	Armen Davtyan	sweep	2019-04-23 13:49:55
237	Armen Davtyan	sweet	2019-04-23 13:49:57
238	Armen Davtyan	swear	2019-04-23 13:50:01
239	Armen Davtyan	survey	2019-04-23 13:50:05
240	Armen Davtyan	servive	2019-04-23 13:50:08
241	Armen Davtyan	square	2019-04-23 13:53:12
242	Armen Davtyan	stage	2019-04-23 13:53:24
243	Armen Davtyan	stand	2019-04-23 13:53:27
244	Armen Davtyan	structure	2019-04-23 13:53:30
245	Armen Davtyan	studio	2019-04-23 13:53:34
246	Armen Davtyan	substance	2019-04-23 13:53:37
247	Armen Davtyan	successful	2019-04-23 13:53:43
248	Armen Davtyan	swing	2019-04-23 13:53:47
249	Armen Davtyan	switch	2019-04-23 13:53:51
250	Armen Davtyan	swollen	2019-04-23 13:53:54
251	Armen Davtyan	system	2019-04-23 13:54:05
252	Armen Davtyan	stranger	2019-04-23 13:54:12
253	Masha Zubkova	Season	2019-04-23 14:17:27
254	Masha Zubkova	Stunt	2019-04-23 14:17:31
255	Masha Zubkova	Surround	2019-04-23 14:18:25
256	Masha Zubkova	Stuck	2019-04-23 14:18:57
257	Masha Zubkova	Sickness	2019-04-23 14:19:23
258	Masha Zubkova	Sort	2019-04-23 14:20:03
259	Masha Zubkova	Silver	2019-04-23 14:21:01
260	Masha Zubkova	Silent	2019-04-23 14:21:10
261	Masha Zubkova	Silk	2019-04-23 14:21:19
262	Masha Zubkova	Silly	2019-04-23 14:21:42
263	Masha Zubkova	Satisfaction	2019-04-23 14:22:12
264	Masha Zubkova	Switch	2019-04-23 14:26:00
265	Masha Zubkova	Solution	2019-04-23 14:26:10
266	Masha Zubkova	Solitude	2019-04-23 14:26:20
267	Masha Zubkova	Squirrel	2019-04-23 14:27:10
268	Masha Zubkova	Somebody	2019-04-23 14:27:48
269	Masha Zubkova	Symbol	2019-04-23 14:28:15
270	Masha Zubkova	Slave	2019-04-23 14:28:40
271	Masha Zubkova	Seasick	2019-04-23 14:28:52
272	Masha Zubkova	Seaside	2019-04-23 14:28:57
273	Masha Zubkova	Strong	2019-04-23 14:29:05
274	Masha Zubkova	Siblings	2019-04-23 14:30:14
275	Masha Zubkova	Saturday	2019-04-23 14:30:21
276	Masha Zubkova	Sunday	2019-04-23 14:30:28
277	Masha Zubkova	Send	2019-04-23 14:30:47
278	Masha Zubkova	Seconds	2019-04-23 14:31:24
279	Masha Zubkova	Sleeve	2019-04-23 14:32:13
280	Masha Zubkova	Street	2019-04-23 14:33:02
281	Masha Zubkova	Support	2019-04-23 14:33:49
282	Masha Zubkova	Statement	2019-04-23 14:34:00
283	Masha Zubkova	Spoil	2019-04-23 14:35:19
284	Masha Zubkova	Star	2019-04-23 14:35:24
285	Masha Zubkova	Start	2019-04-23 14:35:29
286	Masha Zubkova	Student	2019-04-23 14:35:57
287	Masha Zubkova	Smart	2019-04-23 14:36:08
288	Masha Zubkova	Saddle	2019-04-23 14:36:48
289	Anna Salmakova	Separation	2019-04-23 14:39:42
290	Pavel Schekotov	subscribe	2019-04-23 14:45:24
291	Vladislav Furashev	Suitcase	2019-04-23 14:49:58
292	Vladislav Furashev	Sunday	2019-04-23 14:50:52
293	Vladislav Furashev	Subway	2019-04-23 14:51:15
294	Vladislav Furashev	Station	2019-04-23 14:51:27
295	Vladislav Furashev	String	2019-04-23 14:51:38
296	Vladislav Furashev	Sound	2019-04-23 14:51:44
297	Vladislav Furashev	Scissors	2019-04-23 14:51:58
298	Vladislav Furashev	Sun	2019-04-23 14:52:04
299	Vladislav Furashev	Swim	2019-04-23 14:52:17
300	Vladislav Furashev	Sun	2019-04-23 14:52:04
301	Vladislav Furashev	Swim	2019-04-23 14:52:17
302	Vladislav Furashev	Swear	2019-04-23 14:52:25
303	Vladislav Furashev	She	2019-04-23 14:52:31
304	Vladislav Furashev	Single	2019-04-23 14:52:47
305	Vladislav Furashev	Simple	2019-04-23 14:52:54
306	Vladislav Furashev	Sleep	2019-04-23 14:53:02
307	Vladislav Furashev	Slice	2019-04-23 14:53:19
308	Vladislav Furashev	Saturday	2019-04-23 14:53:36
309	Vladislav Furashev	Study	2019-04-23 14:53:43
310	Vladislav Furashev	Start	2019-04-23 14:53:50
311	Vladislav Furashev	Switch	2019-04-23 14:54:05
312	Vladislav Furashev	Smile	2019-04-23 14:54:21
313	Vladislav Furashev	Street	2019-04-23 14:54:38
314	Vladislav Furashev	School	2019-04-23 14:54:48
315	Vladislav Furashev	Success	2019-04-23 14:55:00
316	Vladislav Furashev	Should	2019-04-23 14:55:13
317	Vladislav Furashev	Sure	2019-04-23 14:55:24
318	Vladislav Furashev	Show	2019-04-23 14:55:31
319	Vladislav Furashev	Secretary	2019-04-23 14:55:48
320	Vladislav Furashev	Say	2019-04-23 14:55:58
321	Vladislav Furashev	Summer	2019-04-23 14:56:09
322	Vladislav Furashev	Soon	2019-04-23 14:56:18
323	Vladislav Furashev	Son	2019-04-23 14:56:27
324	Vladislav Furashev	Seems	2019-04-23 14:56:55
325	Vladislav Furashev	See	2019-04-23 14:57:00
326	Vladislav Furashev	Sad	2019-04-23 14:57:08
327	Vladislav Furashev	Shoe	2019-04-23 14:57:51
328	Vladislav Furashev	Shopping	2019-04-23 14:57:57
329	Vladislav Furashev	Sunglasses	2019-04-23 14:58:08
330	Vladislav Furashev	Send	2019-04-23 14:58:31
331	Vladislav Furashev	Stupid	2019-04-23 14:58:43
332	Vladislav Furashev	Suffer	2019-04-23 14:59:01
333	Vladislav Furashev	Square	2019-04-23 14:59:18
334	Vladislav Furashev	Sand of time	2019-04-23 14:59:38
335	Vladislav Furashev	Soul	2019-04-23 14:59:42
336	Vladislav Furashev	Skills	2019-04-23 15:00:00
337	Vladislav Furashev	Sister	2019-04-23 15:00:06
338	Vladislav Furashev	Space	2019-04-23 15:00:27
339	Vladislav Furashev	Sand	2019-04-23 15:00:35
340	Vladislav Furashev	Shower	2019-04-23 15:00:47
341	Vladislav Furashev	Snow	2019-04-23 15:00:53
342	Vladislav Furashev	Storm	2019-04-23 15:00:59
343	Vladislav Furashev	Strong	2019-04-23 15:01:50
344	Vladislav Furashev	Slow	2019-04-23 15:02:13
345	Vladislav Furashev	Speed	2019-04-23 15:03:11
346	Vladislav Furashev	Slowly	2019-04-23 15:04:14
347	Vladislav Furashev	Seasons	2019-04-23 15:05:54
348	Vladislav Furashev	Smell	2019-04-23 15:06:07
349	Vladislav Furashev	Smoke	2019-04-23 15:06:13
350	Vladislav Furashev	Spirit	2019-04-23 15:06:38
351	Vladislav Furashev	Spider	2019-04-23 15:06:44
352	Vladislav Furashev	Spill	2019-04-23 15:06:50
353	Vladislav Furashev	Spice	2019-04-23 15:07:02
354	Vladislav Furashev	Sugar	2019-04-23 15:07:08
355	Vladislav Furashev	Speak	2019-04-23 15:07:33
356	Vladislav Furashev	Spend	2019-04-23 15:07:48
357	Vladislav Furashev	Save	2019-04-23 15:08:04
358	Vladislav Furashev	Seven	2019-04-23 15:08:15
359	Vladislav Furashev	Script	2019-04-23 15:09:18
360	Vladislav Furashev	Scroll	2019-04-23 15:09:26
361	Vladislav Furashev	Screen	2019-04-23 15:09:35
362	Vladislav Furashev	South	2019-04-23 15:09:48
363	Vladislav Furashev	Side	2019-04-23 15:09:56
364	Vladislav Furashev	Site	2019-04-23 15:10:11
365	Vladislav Furashev	Sky	2019-04-23 15:12:44
366	Vladislav Furashev	Soft	2019-04-23 15:13:22
367	Vladislav Furashev	Shoot	2019-04-23 15:13:39
368	Vladislav Furashev	Spell	2019-04-23 15:13:59
369	Vladislav Furashev	Special	2019-04-23 15:14:22
370	Vladislav Furashev	Sneeze	2019-04-23 15:14:43
371	Vladislav Furashev	Snake	2019-04-23 15:14:55
372	Vladislav Furashev	Spy	2019-04-23 15:15:30
373	Vladislav Furashev	Set	2019-04-23 15:15:40
374	Vladislav Furashev	Soldier	2019-04-23 15:16:48
375	Vladislav Furashev	Sea	2019-04-23 15:17:04
376	Vladislav Furashev	Sheet	2019-04-23 15:18:10
377	Vladislav Furashev	Short	2019-04-23 15:18:28
378	Vladislav Furashev	Skull	2019-04-23 15:18:59
379	Vladislav Furashev	Skeleton	2019-04-23 15:19:14
380	Vladislav Furashev	Salty	2019-04-23 15:21:02
381	Vladislav Furashev	Salt	2019-04-23 15:21:19
382	Vladislav Furashev	Salad	2019-04-23 15:21:57
383	Vladislav Furashev	Small	2019-04-23 15:22:51
384	Vladislav Furashev	Serious	2019-04-23 15:23:18
385	Roma Sayfudinov	Science	2019-04-23 15:23:42
386	Roma Sayfudinov	sorrow	2019-04-23 15:23:52
387	Vladislav Furashev	Salmon	2019-04-23 15:23:58
388	Roma Sayfudinov	selfish	2019-04-23 15:24:00
389	Roma Sayfudinov	september	2019-04-23 15:24:09
390	Roma Sayfudinov	solid	2019-04-23 15:24:18
391	Vladislav Furashev	Sponge	2019-04-23 15:24:29
392	Vladislav Furashev	Soup	2019-04-23 15:24:50
393	Vladislav Furashev	Spoon	2019-04-23 15:26:12
394	Vladislav Furashev	Sing	2019-04-23 15:27:18
395	Vladislav Furashev	Sell	2019-04-23 15:27:39
396	Vladislav Furashev	Sorbet	2019-04-23 15:29:38
397	Vladislav Furashev	Stand	2019-04-23 15:31:57
398	Vladislav Furashev	Stop	2019-04-23 15:32:03
399	Vladislav Furashev	Script	2019-04-23 15:33:46
400	Vladislav Furashev	Spring	2019-04-23 15:35:00
401	Vladislav Furashev	Second	2019-04-23 15:35:30
402	Vladislav Furashev	Stone	2019-04-23 15:36:05
403	Vladislav Furashev	Six	2019-04-23 15:37:03
404	Vladislav Furashev	Sex	2019-04-23 15:37:07
405	Vladislav Furashev	Sofa	2019-04-23 15:37:50
406	Vladislav Furashev	Santa	2019-04-23 15:39:38
407	Vladislav Furashev	Seventeen	2019-04-23 15:40:05
408	Vladislav Furashev	Sixteen	2019-04-23 15:40:14
409	Denis Permikin	Shame	2019-04-23 15:41:36
410	Denis Permikin	Sunset	2019-04-23 15:41:44
411	Denis Permikin	Sure	2019-04-23 15:41:50
412	Denis Permikin	Sorry	2019-04-23 15:41:54
413	Denis Permikin	She	2019-04-23 15:41:57
414	Denis Permikin	Spend	2019-04-23 15:42:08
415	Denis Permikin	Space	2019-04-23 15:42:14
416	Denis Permikin	Spam	2019-04-23 15:42:21
417	Denis Permikin	System	2019-04-23 15:42:28
418	Denis Permikin	Symptom	2019-04-23 15:42:35
419	Denis Permikin	Sympathy	2019-04-23 15:42:49
420	Denis Permikin	Symphony	2019-04-23 15:43:01
421	Denis Permikin	Sparrow	2019-04-23 15:43:13
422	Denis Permikin	Spa	2019-04-23 15:43:20
423	Denis Permikin	Self	2019-04-23 15:43:41
424	Denis Permikin	Selection	2019-04-23 15:43:48
425	Denis Permikin	Still	2019-04-23 15:43:53
426	Denis Permikin	Strong	2019-04-23 15:44:00
427	Denis Permikin	Spring	2019-04-23 15:44:06
428	Denis Permikin	Sprint	2019-04-23 15:44:12
429	Denis Permikin	Steam	2019-04-23 15:44:35
430	Denis Permikin	Speak	2019-04-23 15:44:45
431	Vladislav Furashev	Sign	2019-04-23 15:44:47
432	Denis Permikin	Stress	2019-04-23 15:44:57
433	Denis Permikin	Song	2019-04-23 15:45:04
434	Denis Permikin	Sing	2019-04-23 15:45:08
435	Denis Permikin	Sleep	2019-04-23 15:45:13
436	Denis Permikin	Slow	2019-04-23 15:45:18
437	Denis Permikin	Slam	2019-04-23 15:45:31
438	Vladislav Furashev	Shadow	2019-04-23 16:01:35
439	Vladislav Furashev	Snack	2019-04-23 16:01:48
440	Vladislav Furashev	Star	2019-04-23 16:02:00
441	Vladislav Furashev	Scarlett	2019-04-23 16:02:23
442	Vladislav Furashev	Spill	2019-04-23 16:02:44
443	Vladislav Furashev	Scorpion	2019-04-23 16:04:25
444	Vladislav Furashev	Step	2019-04-23 16:06:12
445	Vladislav Furashev	Stay	2019-04-23 16:07:23
446	Vladislav Furashev	Stage	2019-04-23 16:07:48
447	Vladislav Furashev	State	2019-04-23 16:07:59
448	Vladislav Furashev	Steel	2019-04-23 16:08:59
449	Vladislav Furashev	Survival	2019-04-23 16:12:32
450	Vladislav Furashev	Soap	2019-04-23 16:12:43
451	Vladislav Furashev	Some	2019-04-23 16:13:00
452	Vladislav Furashev	Suit	2019-04-23 16:13:24
453	Kristina Rozental	Statuesque	2019-04-23 16:14:53
454	Vladislav Furashev	Skin	2019-04-23 16:16:17
455	Kristina Rozental	Straightforwardly	2019-04-23 16:16:23
456	Vladislav Furashev	Skirt	2019-04-23 16:16:28
457	Vladislav Furashev	Sauna	2019-04-23 16:17:24
458	Kristina Rozental	Speleologist	2019-04-23 16:17:36
459	Vladislav Furashev	Score	2019-04-23 16:17:43
460	Vladislav Furashev	Sunset	2019-04-23 16:18:21
461	Kristina Rozental	Surmount	2019-04-23 16:18:36
462	Kristina Rozental	Stereophonic	2019-04-23 16:18:59
463	Kristina Rozental	Sanctimonious	2019-04-23 16:20:07
464	Armen Davtyan	Sap	2019-04-23 16:20:20
465	Armen Davtyan	Sea	2019-04-23 16:20:24
466	Armen Davtyan	Seat	2019-04-23 16:20:28
467	Armen Davtyan	Seclusion	2019-04-23 16:20:31
468	Armen Davtyan	Seem	2019-04-23 16:20:35
469	Armen Davtyan	Seize	2019-04-23 16:20:41
470	Armen Davtyan	Seldom	2019-04-23 16:20:45
