"ref_id","setting_id","string_agg"
13002,1,"sufferings_2#._1# _6 | He_2# _6 | wished_2# _6 | that_2# _6 | his_2# _6 | aunt_2# _6 | could_2# _6 | see_2# _6 | him_2# _6 | now_2#,_1# _6 | facing_2# _6 | the_4# _6 | fearful_2# _6 | future_2# _6 | with_2# _6 | a_4# _6 | smile_2# _6 | on_2# _6 | his_2# _6 | lips_2#._1# _6"
13002,2,"and_2# _6 | a_4# _6 | quarter_2# _6 | of_2# _6 | a_4# _6 | mile_2# _6 | wide_2#._1# _6 | It_2# _6 | was_2# _6 | very_2# _6 | near_2# _6 | to_2# _6 | the_4# _6 | shore_2# _6 | on_2# _6 | one_2# _6 | where_2# _6 | their_2# _6 | village_2# _6 | was_2#._1# _6"
13002,3,"ore_2# _6 | arer_2# _6 | e_2# _6 | wn_2#._1# _6 | e_2# _6 | ees_2# _6 | ere_2# _6 | re_2# _6 | all_2#,_1# _6 | d_2# _6 | ew_2# _6 | ickly_2#._1# _6 | rough_2# _6 | em_2#,_1# _6 | e_2# _6 | ys_2# _6 | oked_2# _6 | ross_2# _6 | e_2# _6 | ter_2#._1# _6"
13002,4,"away_2# _6 | among_2# _6 | the_4# _6 | trees_2#._1# _6 | When_2# _6 | he_2# _6 | knew_2# _6 | that_2# _6 | they_2# _6 | could_2# _6 | not_2# _6 | hear_2# _6 | him_2#,_1# _6 | he_2# _6 | began_2# _6 | to_2# _6 | run_2# _6 | toward_2# _6 | the_4# _6 | river_2#._1# _6"
13002,5,"too_2# _6 | hot_2#._1# _6 | Then_2# _6 | they_2# _6 | had_2# _6 | something_2# _6 | to_2# _6 | eat_2# _6 | again_2#._1# _6 | The_4# _6 | desire_2# _6 | for_2# _6 | home_2# _6 | was_2# _6 | now_2# _6 | strong_2# _6 | in_2# _6 | all_2# _6 | of_2# _6 | them_2#._1# _6"
13002,6,"see_2# _6 | the_4# _6 | two_2# _6 | boys_2#._1# _6 | The_4# _6 | children_2# _6 | who_2# _6 | were_2# _6 | the_4# _6 | last_2# _6 | to_2# _6 | talk_2# _6 | with_2# _6 | Tom_2# _6 | and_2# _6 | Joe_2# _6 | felt_2# _6 | very_2# _6 | important_2# _6 | indeed_2#._1# _6"
13002,7,"the_4# _6 | three_2# _6 | dead_2# _6 | boys_2# _6 | walked_2# _6 | to_2# _6 | the_4# _6 | front_2# _6 | of_2# _6 | the_4# _6 | church_2#._1# _6 | Tom_2# _6 | was_2# _6 | first_2#,_1# _6 | Joe_2# _6 | next_2#,_1# _6 | and_2# _6 | last_2# _6 | came_2# _6 | Huck_2#._1# _6"
13002,8,"will_2# _6 | be_2# _6 | sorry_2#._1# _6 | You_2# _6 | will_2# _6 | wish_2# _6 | that_2# _6 | you_2# _6 | had_2# _6 | cared_2# _6 | more_2# _6 | for_2# _6 | me_2#._1# _6 | But_2# _6 | then_2# _6 | it_2# _6 | will_2# _6 | be_2# _6 | too_2# _6 | late_2#._1# _6"
13002,9,"from_2# _6 | him_2#,_1# _6 | but_2# _6 | her_2# _6 | feet_2# _6 | would_2# _6 | not_2# _6 | do_2# _6 | as_2# _6 | she_2# _6 | wished_2#._1# _6 | They_2# _6 | carried_2# _6 | her_2# _6 | near_2# _6 | to_2# _6 | the_4# _6 | group_2# _6 | around_2# _6 | Tom_2#._1# _6"
13002,10,"to_2# _6 | find_2# _6 | a_4# _6 | way_2# _6 | to_2# _6 | make_2# _6 | her_2# _6 | happy_2#._1# _6 | But_2# _6 | she_2# _6 | didn't_2# _6 | want_2# _6 | to_2# _6 | see_2# _6 | Alfred_2#._1# _6 | He_2# _6 | was_2# _6 | quick_2# _6 | to_2# _6 | understand_2#._1# _6"
13002,11,"beat_2# _6 | Tom_2# _6 | for_2# _6 | destroying_2# _6 | a_4# _6 | page_2# _6 | in_2# _6 | his_2# _6 | book_2#._1# _6 | She_2# _6 | did_2# _6 | not_2# _6 | know_2# _6 | that_2# _6 | she_2# _6 | would_2# _6 | soon_2# _6 | have_2# _6 | trouble_2# _6 | also_2#!_1# _6"
13002,12,"I_2# _6 | know_2# _6 | what_2# _6 | is_2# _6 | going_2# _6 | to_2# _6 | happen_2# _6 | to_2# _6 | you_2#._1# _6 | You_2# _6 | wait_2# _6 | and_2# _6 | you_2# _6 | will_2# _6 | see_2#!_1# _6 | Then_2#,_1# _6 | weeping_2#,_1# _6 | she_2# _6 | ran_2# _6 | outside_2#._1# _6"
13002,13,"seemed_2# _6 | to_2# _6 | be_2# _6 | better_2#._1# _6 | But_2# _6 | after_2# _6 | a_4# _6 | day_2# _6 | he_2# _6 | was_2# _6 | ill_2# _6 | again_2#._1# _6 | He_2# _6 | was_2# _6 | in_2# _6 | bed_2# _6 | for_2# _6 | three_2# _6 | more_2# _6 | weeks_2#._1# _6"
13002,14,"caught_2#._1# _6 | Indian_2# _6 | Joe_2# _6 | had_2# _6 | not_2# _6 | been_2# _6 | found_2#._1# _6 | The_4# _6 | slow_2# _6 | days_2# _6 | passed_2#._1# _6 | With_2# _6 | each_2# _6 | day_2# _6 | Tom_2# _6 | became_2# _6 | a_4# _6 | little_2# _6 | less_2# _6 | afraid_2#._1# _6"
13002,15,"was_2# _6 | wearing_2# _6 | his_2# _6 | old_2# _6 | clothes_2#._1# _6 | But_2# _6 | Tom_2# _6 | persuaded_2# _6 | Huck_2# _6 | to_2# _6 | come_2# _6 | back_2# _6 | to_2# _6 | Mrs_2#._1# _6 | Douglas_2# _6 | and_2# _6 | to_2# _6 | be_2# _6 | a_4# _6 | gentlemen_2#._1# _6"
13003,1,"I_2# _6 | must_2# _6 | be_2# _6 | happy_2#._1# _6 | It_2# _6 | was_2# _6 | a_4# _6 | very_2# _6 | big_2#,_1# _6 | and_2# _6 | very_2# _6 | beautiful_2# _6 | doll_2#,_1# _6 | but_2# _6 | of_2# _6 | course_2# _6 | it_2# _6 | could_2# _6 | not_2# _6 | answer_2#._1# _6"
13003,2,"ue_2# _6 | iend_2#._1# _6 | ey_2# _6 | ten_2# _6 | ay_2# _6 | d_2# _6 | ad_2# _6 | gether_2#._1# _6 | mengarde_2# _6 | ked_2# _6 | listen_2# _6 | sten_2# _6 | Sara's_2# _6 | ra's_2# _6 | ories_2# _6 | out_2# _6 | erything_2# _6 | the_4# _6 | e_2# _6 | rld_2#._1# _6"
