	name_surname	comment_text	time
112	Toma Tarasova	selfish	2019-04-23 13:25:36
113	Toma Tarasova	sundhine	2019-04-23 13:25:41
114	Toma Tarasova	sunrice	2019-04-23 13:25:45
115	Toma Tarasova	slimming	2019-04-23 13:25:50
116	Toma Tarasova	short	2019-04-23 13:25:55
117	Toma Tarasova	southside	2019-04-23 13:26:01
118	Toma Tarasova	south	2019-04-23 13:26:16
119	Toma Tarasova	sport	2019-04-23 13:26:24
120	Toma Tarasova	swimming	2019-04-23 13:26:29
121	Toma Tarasova	swing	2019-04-23 13:26:37
122	Toma Tarasova	swinging	2019-04-23 13:26:45
123	Toma Tarasova	sing	2019-04-23 13:26:48
124	Toma Tarasova	singer	2019-04-23 13:26:52
125	Yura Pisarenko	sycophant	2019-04-23 13:26:53
126	Toma Tarasova	so	2019-04-23 13:27:14
127	Toma Tarasova	slide	2019-04-23 13:27:19
128	Toma Tarasova	slightly	2019-04-23 13:27:24
129	Toma Tarasova	slow	2019-04-23 13:27:27
130	Toma Tarasova	slowly	2019-04-23 13:27:31
131	Toma Tarasova	saturday	2019-04-23 13:27:38
132	Toma Tarasova	saturn	2019-04-23 13:27:43
133	Toma Tarasova	should	2019-04-23 13:27:57
134	Toma Tarasova	shampoo	2019-04-23 13:28:06
135	Toma Tarasova	star	2019-04-23 13:28:32
136	Toma Tarasova	start	2019-04-23 13:28:35
137	Toma Tarasova	starting	2019-04-23 13:28:40
138	Toma Tarasova	starving	2019-04-23 13:28:45
139	Toma Tarasova	starbucks	2019-04-23 13:28:51
140	Toma Tarasova	sturring	2019-04-23 13:28:58
141	Toma Tarasova	square	2019-04-23 13:29:03
142	Toma Tarasova	squeeze	2019-04-23 13:29:07
143	Toma Tarasova	squash	2019-04-23 13:29:24
144	Toma Tarasova	slot	2019-04-23 13:29:37
145	Toma Tarasova	sloan	2019-04-23 13:29:41
146	Toma Tarasova	sloganeering	2019-04-23 13:29:48
147	Toma Tarasova	stephen	2019-04-23 13:29:54
148	Toma Tarasova	still	2019-04-23 13:29:59
149	Toma Tarasova	study	2019-04-23 13:30:03
150	Toma Tarasova	studying	2019-04-23 13:30:10
151	Toma Tarasova	simply	2019-04-23 13:30:56
152	Toma Tarasova	simple	2019-04-23 13:31:00
153	Toma Tarasova	symptoms	2019-04-23 13:31:05
154	Toma Tarasova	synopsis	2019-04-23 13:31:10
155	Nikita Chibisov	same	2019-04-23 13:33:44
156	Nikita Chibisov	some	2019-04-23 13:33:48
157	Nikita Chibisov	simpsons	2019-04-23 13:33:57
158	Nikita Chibisov	soldiers	2019-04-23 13:34:04
159	Nikita Chibisov	serially	2019-04-23 13:34:22
160	Nikita Chibisov	solenoid	2019-04-23 13:34:33
161	Nikita Chibisov	say	2019-04-23 13:35:04
162	Armen Davtyan	slip	2019-04-23 13:44:35
163	Armen Davtyan	show	2019-04-23 13:44:42
164	Armen Davtyan	seria	2019-04-23 13:44:48
165	Armen Davtyan	severe	2019-04-23 13:44:54
166	Armen Davtyan	send	2019-04-23 13:45:00
167	Armen Davtyan	sell	2019-04-23 13:45:03
168	Armen Davtyan	security	2019-04-23 13:45:07
169	Vsevolod Kadykov	sorry	2019-04-23 13:45:13
170	Armen Davtyan	set	2019-04-23 13:45:18
171	Armen Davtyan	side	2019-04-23 13:45:28
172	Armen Davtyan	silk	2019-04-23 13:45:43
173	Armen Davtyan	signal	2019-04-23 13:46:01
174	Armen Davtyan	silly	2019-04-23 13:46:04
175	Armen Davtyan	separation	2019-04-23 13:46:23
176	Armen Davtyan	senate	2019-04-23 13:46:29
177	Armen Davtyan	select	2019-04-23 13:46:38
178	Armen Davtyan	season	2019-04-23 13:46:51
179	Armen Davtyan	seal	2019-04-23 13:46:53
180	Armen Davtyan	shade	2019-04-23 13:46:57
181	Armen Davtyan	sock	2019-04-23 13:47:06
182	Armen Davtyan	snake	2019-04-23 13:47:10
183	Armen Davtyan	spot	2019-04-23 13:47:16
184	Armen Davtyan	spring	2019-04-23 13:47:22
185	Armen Davtyan	solution	2019-04-23 13:47:30
186	Armen Davtyan	soldier	2019-04-23 13:47:38
187	Armen Davtyan	stick	2019-04-23 13:47:50
188	Armen Davtyan	stare	2019-04-23 13:48:00
189	Armen Davtyan	stay	2019-04-23 13:48:19
190	Armen Davtyan	steal	2019-04-23 13:48:50
191	Armen Davtyan	steak	2019-04-23 13:48:53
192	Armen Davtyan	steam	2019-04-23 13:48:56
193	Armen Davtyan	steady	2019-04-23 13:49:00
194	Armen Davtyan	stair	2019-04-23 13:49:16
195	Armen Davtyan	stable	2019-04-23 13:49:19
196	Armen Davtyan	strike	2019-04-23 13:49:27
197	Armen Davtyan	such	2019-04-23 13:49:33
198	Armen Davtyan	suggest	2019-04-23 13:49:44
199	Armen Davtyan	sweep	2019-04-23 13:49:55
200	Armen Davtyan	swear	2019-04-23 13:50:01
201	Armen Davtyan	survey	2019-04-23 13:50:05
202	Armen Davtyan	servive	2019-04-23 13:50:08
203	Armen Davtyan	stage	2019-04-23 13:53:24
204	Armen Davtyan	stand	2019-04-23 13:53:27
205	Armen Davtyan	structure	2019-04-23 13:53:30
206	Armen Davtyan	substance	2019-04-23 13:53:37
207	Armen Davtyan	swollen	2019-04-23 13:53:54
208	Armen Davtyan	stranger	2019-04-23 13:54:12
209	Masha Zubkova	stunt	2019-04-23 14:17:31
210	Masha Zubkova	surround	2019-04-23 14:18:25
211	Masha Zubkova	stuck	2019-04-23 14:18:57
212	Masha Zubkova	sickness	2019-04-23 14:19:23
213	Masha Zubkova	sort	2019-04-23 14:20:03
214	Masha Zubkova	silent	2019-04-23 14:21:10
215	Masha Zubkova	solitude	2019-04-23 14:26:20
216	Masha Zubkova	symbol	2019-04-23 14:28:15
217	Masha Zubkova	seasick	2019-04-23 14:28:52
218	Masha Zubkova	seaside	2019-04-23 14:28:57
219	Masha Zubkova	strong	2019-04-23 14:29:05
220	Masha Zubkova	siblings	2019-04-23 14:30:14
221	Masha Zubkova	seconds	2019-04-23 14:31:24
